trialResp.keys,trialResp.corr,trialResp.rt,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials1.ran,square,loc1,loc2,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials2.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,1,,,,,,,5,0,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,10,10,10,1
space,1,0.9123,,,,,,6,0.2,0,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,11,11,11,1
,1,,,,,,,3,0.2,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,12,12,12,1
space,0,1.1134,,,,,,1,-0.2,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,13,13,13,1
,1,,,,,,,7,-0.2,-0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,14,14,14,1
,1,,,,,,,9,0.2,-0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,15,15,15,1
space,1,0.72,,,,,,1,-0.2,0.2,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,16,16,16,1
,1,,,,,,,3,0.2,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,17,17,17,1
,1,,,,,,,7,-0.2,-0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,18,18,18,1
,1,,,,,,,5,0,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,19,19,19,1
,0,,,,,,,3,0.2,0.2,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,20,20,20,1
,1,,,,,,,8,0,-0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,21,21,21,1
,1,,,,,,,7,-0.2,-0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,22,22,22,1
,1,,,,,,,4,-0.2,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,23,23,23,1
,0,,,,,,,8,0,-0.2,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,24,24,24,1
space,0,0.4186,,,,,,5,0,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,25,25,25,1
,1,,,,,,,2,0,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,26,26,26,1
,1,,,,,,,6,0.2,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,27,27,27,1
space,1,0.9606,,,,,,5,0,0,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,28,28,28,1
,0,,,,,,,2,0,0.2,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,29,29,29,1
space,0,0.3924,,,,,,5,0,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,30,30,30,1
,1,,,,,,,2,0,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,31,31,31,1
space,0,0.6049,,,,,,9,0.2,-0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,32,32,32,1
,1,,,,,,,6,0.2,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,33,33,33,1
