trialResp.keys,trialResp.corr,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials1.ran,square,loc1,loc2,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,trialResp.rt,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials2.ran
space,1,,,,,,4,-0.2,0,space,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,0.5345,0,23,23,23,1
,1,,,,,,4,-0.2,0,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,24,24,24,1
,1,,,,,,5,0,0,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,25,25,25,1
,1,,,,,,2,0,0.2,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,26,26,26,1
,1,,,,,,6,0.2,0,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,27,27,27,1
,1,,,,,,7,-0.2,-0.2,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,28,28,28,1
space,1,,,,,,6,0.2,0,space,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,0.4704,0,29,29,29,1
,1,,,,,,8,0,-0.2,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,30,30,30,1
,1,,,,,,2,0,0.2,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,31,31,31,1
space,1,,,,,,8,0,-0.2,space,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,0.4178,0,32,32,32,1
,1,,,,,,9,0.2,-0.2,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,33,33,33,1
,1,,,,,,6,0.2,0,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,34,34,34,1
space,1,,,,,,9,0.2,-0.2,space,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,0.497,0,35,35,35,1
,1,,,,,,4,-0.2,0,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,36,36,36,1
,1,,,,,,3,0.2,0.2,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,37,37,37,1
,1,,,,,,8,0,-0.2,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,38,38,38,1
space,1,,,,,,3,0.2,0.2,space,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,0.4039,0,39,39,39,1
,1,,,,,,1,-0.2,0.2,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,40,40,40,1
,1,,,,,,4,-0.2,0,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,41,41,41,1
,1,,,,,,2,0,0.2,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,42,42,42,1
space,1,,,,,,4,-0.2,0,space,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,0.6633,0,43,43,43,1
,1,,,,,,8,0,-0.2,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,44,44,44,1
,1,,,,,,5,0,0,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,45,45,45,1
,1,,,,,,1,-0.2,0.2,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,46,46,46,1
space,1,,,,,,5,0,0,space,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,0.5254,0,47,47,47,1
,1,,,,,,3,0.2,0.2,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,48,48,48,1
,1,,,,,,6,0.2,0,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,49,49,49,1
,1,,,,,,1,-0.2,0.2,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,50,50,50,1
,1,,,,,,3,0.2,0.2,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,51,51,51,1
space,1,,,,,,1,-0.2,0.2,space,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,0.7331,0,52,52,52,1
,1,,,,,,2,0,0.2,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,53,53,53,1
,0,,,,,,1,-0.2,0.2,space,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,54,54,54,1
space,0,,,,,,1,-0.2,0.2,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,0.6826,0,55,55,55,1
,1,,,,,,7,-0.2,-0.2,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,56,56,56,1
,1,,,,,,2,0,0.2,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,57,57,57,1
space,1,,,,,,7,-0.2,-0.2,space,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,0.3971,0,58,58,58,1
,1,,,,,,6,0.2,0,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,59,59,59,1
